CMDLINE python .\scraper_sync.py
MEM 1.660156 1656607529.7607
MEM 13.531250 1656607529.8887
MEM 20.023438 1656607530.0117
MEM 23.945312 1656607530.1347
MEM 23.945312 1656607530.2607
MEM 23.957031 1656607530.3857
MEM 23.972656 1656607530.5097
MEM 23.976562 1656607530.6367
MEM 23.976562 1656607530.7797
MEM 23.980469 1656607530.9207
MEM 23.980469 1656607531.1287
MEM 23.980469 1656607531.3008
MEM 23.980469 1656607531.5108
MEM 23.980469 1656607531.6779
MEM 23.980469 1656607531.8739
MEM 23.980469 1656607532.0079
MEM 23.980469 1656607532.1499
MEM 23.980469 1656607532.2909
MEM 23.980469 1656607532.4259
MEM 23.980469 1656607532.5669
MEM 23.980469 1656607532.7039
MEM 23.980469 1656607532.8289
MEM 23.980469 1656607532.9559
MEM 23.980469 1656607533.0969
MEM 23.980469 1656607533.2309
MEM 23.980469 1656607533.3589
MEM 23.980469 1656607533.5029
MEM 23.980469 1656607533.6439
MEM 23.980469 1656607533.7829
MEM 23.980469 1656607533.9209
MEM 23.980469 1656607534.0659
MEM 23.980469 1656607534.1999
MEM 23.980469 1656607534.3459
MEM 23.980469 1656607534.4829
MEM 23.980469 1656607534.6229
MEM 23.980469 1656607534.7619
MEM 23.980469 1656607534.9039
MEM 23.980469 1656607535.0429
MEM 23.980469 1656607535.1759
MEM 23.980469 1656607535.3059
MEM 23.980469 1656607535.4299
MEM 23.980469 1656607535.5549
MEM 23.980469 1656607535.6789
MEM 23.980469 1656607535.8089
MEM 23.980469 1656607535.9319
MEM 23.980469 1656607536.0589
MEM 23.980469 1656607536.1819
MEM 23.980469 1656607536.3029
MEM 23.980469 1656607536.4309
MEM 23.980469 1656607536.5569
MEM 23.980469 1656607536.6859
MEM 23.980469 1656607536.8249
MEM 23.980469 1656607536.9529
MEM 23.980469 1656607537.0899
MEM 23.980469 1656607537.2379
MEM 23.980469 1656607537.3789
MEM 23.980469 1656607537.5309
MEM 23.980469 1656607537.6779
MEM 23.980469 1656607537.8269
MEM 23.980469 1656607537.9779
MEM 23.980469 1656607538.1059
MEM 23.980469 1656607538.2309
MEM 23.980469 1656607538.3759
MEM 23.980469 1656607538.5149
MEM 23.980469 1656607538.6579
MEM 23.980469 1656607538.7919
MEM 23.980469 1656607538.9389
MEM 23.980469 1656607539.0749
MEM 23.980469 1656607539.2029
MEM 23.980469 1656607539.3359
MEM 23.980469 1656607539.4759
MEM 23.980469 1656607539.6159
MEM 23.980469 1656607539.7579
MEM 23.980469 1656607539.9159
MEM 23.980469 1656607540.0799
MEM 23.980469 1656607540.2179
MEM 23.980469 1656607540.3739
MEM 23.980469 1656607540.5169
MEM 23.980469 1656607540.6629
