CMDLINE python .\scraper_multi_proceso.py
MEM 1.660156 1656607714.7276
MEM 10.195312 1656607714.8556
MEM 17.195312 1656607714.9936
MEM 20.667969 1656607715.1206
CHLD 0 4.136719 1656607715.1416
CHLD 1 2.640625 1656607715.1416
MEM 91.179688 1656607715.2786
CHLD 0 8.859375 1656607715.3086
CHLD 1 9.445312 1656607715.3086
CHLD 2 9.226562 1656607715.3086
CHLD 3 10.378906 1656607715.3086
CHLD 4 9.269531 1656607715.3086
CHLD 5 9.019531 1656607715.3086
CHLD 6 8.855469 1656607715.3086
CHLD 7 8.421875 1656607715.3086
MEM 111.437500 1656607715.5136
CHLD 0 10.960938 1656607715.5566
CHLD 1 12.378906 1656607715.5566
CHLD 2 10.746094 1656607715.5566
CHLD 3 11.746094 1656607715.5566
CHLD 4 12.007812 1656607715.5566
CHLD 5 10.664062 1656607715.5566
CHLD 6 11.812500 1656607715.5566
CHLD 7 11.636719 1656607715.5566
MEM 122.496094 1656607715.6826
CHLD 0 12.355469 1656607715.7026
CHLD 1 15.656250 1656607715.7026
CHLD 2 12.257812 1656607715.7026
CHLD 3 12.632812 1656607715.7026
CHLD 4 12.937500 1656607715.7026
CHLD 5 12.492188 1656607715.7026
CHLD 6 13.035156 1656607715.7026
CHLD 7 13.320312 1656607715.7026
MEM 145.660156 1656607715.8336
CHLD 0 13.449219 1656607715.8626
CHLD 1 16.980469 1656607715.8626
CHLD 2 13.371094 1656607715.8626
CHLD 3 16.519531 1656607715.8626
CHLD 4 16.781250 1656607715.8626
CHLD 5 16.269531 1656607715.8626
CHLD 6 15.593750 1656607715.8626
CHLD 7 17.136719 1656607715.8626
MEM 156.609375 1656607716.0226
CHLD 0 15.792969 1656607716.0806
CHLD 1 17.640625 1656607716.0806
CHLD 2 15.796875 1656607716.0806
CHLD 3 18.085938 1656607716.0806
CHLD 4 18.203125 1656607716.0806
CHLD 5 17.082031 1656607716.0806
CHLD 6 16.238281 1656607716.0806
CHLD 7 18.847656 1656607716.0806
MEM 163.066406 1656607716.2326
CHLD 0 16.351562 1656607716.2806
CHLD 1 18.085938 1656607716.2806
CHLD 2 16.363281 1656607716.2806
CHLD 3 19.859375 1656607716.2806
CHLD 4 18.292969 1656607716.2806
CHLD 5 17.898438 1656607716.2806
CHLD 6 17.019531 1656607716.2806
CHLD 7 19.515625 1656607716.2816
MEM 172.593750 1656607716.4386
CHLD 0 17.714844 1656607716.5086
CHLD 1 19.652344 1656607716.5086
CHLD 2 16.457031 1656607716.5086
CHLD 3 20.441406 1656607716.5086
CHLD 4 20.042969 1656607716.5096
CHLD 5 19.414062 1656607716.5096
CHLD 6 19.210938 1656607716.5096
CHLD 7 19.992188 1656607716.5096
MEM 179.355469 1656607716.6476
CHLD 0 19.386719 1656607716.6696
CHLD 1 20.054688 1656607716.6696
CHLD 2 17.968750 1656607716.6696
CHLD 3 20.660156 1656607716.6696
CHLD 4 20.246094 1656607716.6696
CHLD 5 19.984375 1656607716.6696
CHLD 6 19.664062 1656607716.6696
CHLD 7 20.285156 1656607716.6696
MEM 189.089844 1656607716.8086
CHLD 0 20.167969 1656607716.8326
CHLD 1 20.265625 1656607716.8326
CHLD 2 20.000000 1656607716.8326
CHLD 3 24.636719 1656607716.8326
CHLD 4 21.250000 1656607716.8326
CHLD 5 20.179688 1656607716.8326
CHLD 6 20.195312 1656607716.8326
CHLD 7 21.468750 1656607716.8326
MEM 201.484375 1656607716.9976
CHLD 0 21.664062 1656607717.0886
CHLD 1 23.675781 1656607717.0896
CHLD 2 21.695312 1656607717.0896
CHLD 3 24.640625 1656607717.0896
CHLD 4 24.644531 1656607717.0906
CHLD 5 24.464844 1656607717.0916
CHLD 6 21.812500 1656607717.0916
CHLD 7 21.714844 1656607717.0936
MEM 214.550781 1656607717.2516
CHLD 0 21.773438 1656607717.2826
CHLD 1 24.664062 1656607717.2826
CHLD 2 24.558594 1656607717.2826
CHLD 3 24.675781 1656607717.2826
CHLD 4 24.675781 1656607717.2826
CHLD 5 24.468750 1656607717.2826
CHLD 6 24.621094 1656607717.2826
CHLD 7 24.574219 1656607717.2826
MEM 218.335938 1656607717.4176
CHLD 0 24.566406 1656607717.4426
CHLD 1 24.699219 1656607717.4426
CHLD 2 24.566406 1656607717.4436
CHLD 3 24.691406 1656607717.4436
CHLD 4 24.691406 1656607717.4436
CHLD 5 24.511719 1656607717.4436
CHLD 6 24.632812 1656607717.4436
CHLD 7 24.585938 1656607717.4436
MEM 218.453125 1656607717.6236
CHLD 0 24.593750 1656607717.6536
CHLD 1 24.710938 1656607717.6536
CHLD 2 24.582031 1656607717.6536
CHLD 3 24.699219 1656607717.6536
CHLD 4 24.703125 1656607717.6536
CHLD 5 24.515625 1656607717.6536
CHLD 6 24.648438 1656607717.6536
CHLD 7 24.601562 1656607717.6536
MEM 218.472656 1656607717.7886
CHLD 0 24.593750 1656607717.8136
CHLD 1 24.714844 1656607717.8136
CHLD 2 24.582031 1656607717.8136
CHLD 3 24.699219 1656607717.8136
CHLD 4 24.707031 1656607717.8136
CHLD 5 24.523438 1656607717.8136
CHLD 6 24.648438 1656607717.8136
CHLD 7 24.601562 1656607717.8136
MEM 218.488281 1656607717.9546
CHLD 0 24.597656 1656607717.9826
CHLD 1 24.718750 1656607717.9826
CHLD 2 24.585938 1656607717.9836
CHLD 3 24.699219 1656607717.9836
CHLD 4 24.707031 1656607717.9866
CHLD 5 24.523438 1656607717.9866
CHLD 6 24.652344 1656607717.9866
CHLD 7 24.605469 1656607717.9866
MEM 218.492188 1656607718.1476
CHLD 0 24.597656 1656607718.1746
CHLD 1 24.718750 1656607718.1756
CHLD 2 24.585938 1656607718.1756
CHLD 3 24.703125 1656607718.1756
CHLD 4 24.707031 1656607718.1756
CHLD 5 24.523438 1656607718.1756
CHLD 6 24.652344 1656607718.1756
CHLD 7 24.605469 1656607718.1756
MEM 218.503906 1656607718.3386
CHLD 0 24.597656 1656607718.3606
CHLD 1 24.718750 1656607718.3606
CHLD 2 24.585938 1656607718.3606
CHLD 3 24.707031 1656607718.3606
CHLD 4 24.710938 1656607718.3606
CHLD 5 24.523438 1656607718.3606
CHLD 6 24.652344 1656607718.3606
CHLD 7 24.605469 1656607718.3606
MEM 218.511719 1656607718.4926
CHLD 0 24.597656 1656607718.5146
CHLD 1 24.718750 1656607718.5146
CHLD 2 24.585938 1656607718.5146
CHLD 3 24.710938 1656607718.5146
CHLD 4 24.710938 1656607718.5146
CHLD 5 24.523438 1656607718.5146
CHLD 6 24.656250 1656607718.5146
CHLD 7 24.605469 1656607718.5146
MEM 21.402344 1656607718.7976
